监测点ID,纬度,经度
蔡甸区汉阳大街站,30.585101,114.023693
沉湖七壕(对照点),30.295022,113.85733
东湖梨园,30.573696,114.375276
东西湖区环湖路站,30.655929,114.170812
沌口新区,30.480471,114.162161
汉口花桥,30.616294,114.287548
汉口江滩,30.597708,114.313407
汉南区纱帽正街站,30.312339,114.0856
汉阳月湖,30.554304,114.263843
洪山区鲁磨路站,30.518052,114.403976
化工区化工大道站,30.626179,114.537648
黄陂区黄陂大道站,30.882837,114.374846
江汉区大兴路站,30.568244,114.289579
江汉区后襄河南路站,30.609677,114.256461
江夏区纸坊大街站,30.340483,114.34117
民族大道182号,30.49406667,114.3925139
硚口区解放大道站,30.602905,114.193215
青山钢花,30.623941,114.375321
吴家山,30.637863,114.140762
武昌紫阳,30.530771,114.308136
新洲区红旗街站,30.840683,114.802462
